,input,pred,output
3162,vipannata,विपनानात,विपन्नता
3163,ashanka,अशंका,आशंका
3164,devnaar,देवार,देवनार
3165,khitabon,खिताबों,खिताबों
3166,baadhit,बाधित,बाधित
3167,jha,झे,झ
3168,dehdhaari,देधारर,देहधारी
3169,kraar,क्रार,क़रार
3170,udana,उदना,उड़ाना
3171,kargil,कार्गिल,कारगिल
3172,raagon,रागों,रागों
3173,properphasebook,प्रोप्ररबफफ,प्रॉपरफेसबुक
3174,pran,प्रान,प्राण
3175,florence,फ्लोरेंस,फ्लोरेंस
3176,blair,ब्लाइर,ब्लेयर
3177,panter,पंटर,पंटर
3178,villa,विला,विला
3179,sundaram,सुंदराम,सुंदरम
3180,pardesiyon,पररडिसययों,परदेसियों
3181,braandes,ब्रांडड,ब्रान्डेस
3182,taskhir,ताशखर,तसखीर
3183,jaagriti,जाग्रिति,जागृति
3184,basirhat,बसिरहत,बसीरहाट
3185,sudkhoron,सुद्कोोों,सूदखोरों
3186,findlay,फिंडलय,फाइंडले
3187,jeetanewalon,जीतानेवालों,जीतनेवालों
3188,dubaana,दुबाना,डुबाना
3189,nacl,नैक्ल,एनएसीएल
3190,ashley,अश्ले,एशले
3191,falne,फाले,फलने
3192,kundal,कुंडल,कुंडल
3193,shaie,शेी,शैइ
3194,sivan,सिवन,सिवान
3195,vigyaanapeediyaa,विज्ञानिपायाा,विज्ञानपीडिया
3196,palaari,पलारी,पलारी
3197,vyaghat,व्याघट,व्याघात
3198,dev,डीव,देव
3199,tyoihar,ट्योहिर,त्यौहार
3200,priyadarshini,प्रियाद्शिनी,प्रियदर्शिनी
3201,aatmamugdh,मत्मगुद,आत्ममुग्ध
3202,strong,स्ट्रोंग,स्ट्रॉन्ग
3203,pransangali,प्रांसंगली,प्राणसंगली
3204,manju,मन्ुू,मंजू
3205,ulhasnagar,उल्हानगर,उल्हासनगर
3206,rowe,रोव,रोवे
3207,kapurthala,कापुर्थला,कपूरथला
3208,dharmaviheenataa,धर्माहिविताा,धर्मविहीनता
3209,ijaajat,जजाति,इजाजत
3210,jaatak,जातक,जातक
3211,veriphication,वरीफिक्शेन,वैरीफ़िकेशन
3212,himali,हिमली,हिमाली
3213,haabban,हबबान,हाब्बन
3214,hooper,हूपर,हूपर
3215,parshdon,पर्ष्डों,पार्षदों
3216,aviation,एवियोशन,ऐवीऐशन
3217,ganesha,गेनेशा,गणेशा
3218,parivaarwaale,परिवावावे,परिवारवाले
3219,bareli,बरेली,बरेली
3220,aavrittiyon,आवृत्यियों,आवृत्तियों
3221,khare,खरे,खरे
3222,manjilen,मंजलिें,मंजिलें
3223,khalati,खलाती,खलती
3224,putle,पुटले,पुतले
3225,barpaya,बरपाया,बरपाया
3226,moolchand,मूलचंद,मूलचंद
3227,gujara,गुजारा,गुजारा
3228,yashpal,यश्पल,यशपाल
3229,gyatvy,ग्यावटी,ज्ञातव्य
3230,udanon,उदनों,उड़ानों
3231,robarto,रोबाट्र,रोबर्तो
3232,dabur,दबुर,डाबर
3233,tapan,तपन,तपन
3234,parmeshwarpur,पर्मेश्रवुर,परमेश्वरपुर
3235,khatri,खटरी,खत्री
3236,baagora,बागोरा,बागोरा
3237,anka,अंका,अंक
3238,pranit,प्रानित,प्रनीत
3239,shreeganganagarwaasiyon,शर्गनगांगिवासिोोो,श्रीगंगानगरवासियों
3240,anonditaa,अनोंडिता,अनोंदिता
3241,clay,क्ली,क्ले
3242,rojana,रोजना,रोजना
3243,spf,एफएसएफ,एसपीएफ
3244,hukhookh,हुखौख,हुक़ूक़
3245,lekhan,लेखान,लेख़न
3246,tanta,तंता,तांता
3247,suiyan,सुयान,सूइयां
3248,kashmir,काश्मर,कश्मीर
3249,rattebaajee,रत्तेबजी,रट्टेबाजी
3250,singhade,सिंघडे,सिंघाड़े
3251,navjaagaran,नाजावरा,नवजागरण
3252,udhed,उधेड,उधेड़
3253,dwf,डीएफएफ,डीडब्ल्यूएफ
3254,modules,मोडल्स,मॉड्यूल्स
3255,mod,मोड,मॉड
3256,deshkaal,देशकाल,देशकाल
3257,sophner,सोफनर,सॉफ़्नर
3258,ankeny,एनकेन,एंकेनी
3259,gujarat,गुजरत,गुजरात
3260,omaxe,ओमकसे,ओमैक्स
3261,toh,तोह,तो
3262,paul,पौल,पॉल
3263,granthiyon,ग्रांथियों,ग्रंथियों
3264,haynes,हानेस,हैन्स
3265,mushahid,मुशाहिद,मुशाहिद
3266,brock,ब्रोक,ब्रोक
3267,kanaal,कनाल,कनाल
3268,maathaloo,माथालू,माथलू
3269,charchaaen,चररचाएं,चर्चाएँ
3270,diamond,डिमाओंड,डायमंड
3271,loksbhavaali,लोक्षाबववल,लोकसभावाली
3272,chauki,चौकी,चौकी
3273,uthanevale,उथनेवेल,उठनेवाले
3274,bishadhee,बिशाधी,बिशड़ी
3275,upakhyanon,उपखायानों,उपाख्यानों
3276,sofner,सोफनर,सॉफ़्नर
3277,aavriti,आवृति,आवृत्ति
3278,stuti,स्टुटी,स्तुति
3279,kullawee,कुल्लवी,कुल्लवी
3280,makerere,मकेरेे,माकेरेरे
3281,schaeffler,शैफ्कॉर,स्कैफलर
3282,jealous,जेलाउस,जूलूस
3283,properphasebuk,प्रोप्रेबफफ,प्रॉपरफेसबुक
3284,rasad,रससद,रसद
3285,nilaabh,निलाभ,नीलाभ
3286,arya,अर्या,आर्यो
3287,cubeck,कब्क,क्यूबेक
3288,kraanfrensing,क्रांफननिसिंग,क्रान्फ्रेंसिंग
3289,hasino,हासिनो,हसीनों
3290,ummeede,उममेे,उम्मीदे
3291,falluja,फललुजा,फ़ल्लूजा
3292,murgeepalan,मुरीगपालन,मुर्गीपालन
3293,halebid,हैलिबिड,हैलबिड
3294,independet,इंडेपेटें,इंडिपेन्डेट
3295,aajmaanaa,मजााना,आजमाना
3296,pragyatantra,प्रग्यत््त््,प्रज्ञातंत्र
3297,sahooliyata,सहुलियता,सहूलियत
3298,suhagin,सुहागिन,सुहागिन
3299,pratishthanon,प्रतिश्थनों,प्रतिष्ठानोंं
3300,karawanou,करावाओओ,करावणौ
3301,tribunal,त्रीबुला,ट्रिब्युनल
3302,rosa,रोसा,रोज़ा
3303,jing,जिंग,जिंग
3304,veronica,वरनोकिका,वेरोनिका
3305,vidhamaan,विधामन,विधमान
3306,lalaniya,ललनिया,ललानिया
3307,narayangadh,नराागंध,नारायणगढ़
3308,tarutal,तरुतल,तरुतल
3309,vidagdhaa,विद्गाधा,विदग्धा
3310,prospectus,प्रॉस्क्ट्र,प्रोस्पैक्ट्स
3311,premaatmak,प्रेमात्म,प्रेमात्मक
3312,kakkad,कक्का,कक्कड़
3313,phwcs,एफएीएसीीसी,पीएचडब्ल्यूसीएस
3314,soto,सोतो,सोटो
3315,pashuchaaraa,पशुचारा,पशुचारा
3316,aayudhnirmaanee,मध्युनिरीनी,आयुधनिर्माणी
3317,tel,टील,तेल
3318,zaalaanaa,जलाना,झालाना
3319,difarard,डिफरर्ड,डिफरर्ड
3320,dubona,दुबोना,डुबोना
3321,narwar,नररवर,नरवर
3322,lokotsav,लोकोत्सव,लोकोत्सव
3323,ajhar,अझर,अजहर
3324,handiyaa,हंदिया,हंडिया
3325,parishad,परिषाद,परिषद
3326,brigadier,ब्रिगिडर,ब्रिगेडियर
3327,adchane,अद्चे,अड़चने
3328,niyantaaon,नियानाओं,नियंताओं
3329,enseeaardablyoosee,इन्साररबालीीी,एनसीआरडब्ल्यूसी
3330,dutt,दुत्त,दत्त
3331,sevagram,सेवग्राम,सेवाग्राम
3332,baapa,बापा,बापा
3333,dafan,दफान,द़फन
3334,nanhe,नाने,नन्हें
3335,electromagic,इलेक्ट्रोटिडि,इलेक्ट्रोमैजिक
3336,hichkichaa,हिकचचिाा,हिचकिचा
3337,qwvga,क्ववाा,क्यूडब्ल्यूवीजीए
3338,laaminaar,लामिनार,लामिनार
3339,thenga,थेंगा,ठेंगा
3340,doge,डोगे,दोगे
3341,egmor,एग्मोर,एगमोर
3342,urf,आरआईएफ,उर्फ
3343,wipannta,विपन्ना,विपन्नता
3344,rushitaa,रुषिता,ऋषिता
3345,pratibaddhtaaen,प्रतिद्ताााां,प्रतिबद्धताएं
3346,pharase,फारसे,फरसे
3347,sihunta,सिहुनता,सिहुंता
3348,kaylana,कलाााा,कायलाना
3349,lucie,ल्यूई,लूसी
3350,padani,पदनी,पड़नी
3351,doda,डोडा,डोडा
3352,jaiban,जैबन,जयबाण
3353,nirbadh,निरबाध,निर्बाध
3354,lakshmeechandra,लक्ष्मीच्दर,लक्ष्मीचन्द्र
3355,krueger,क्रूजर,क्रुएगर
3356,liepradhanmantri,लिधारमप्रंत्र,लिएप्रधानमंत्री
3357,bhaagadaud,भागौड़ा,भागदौड
3358,feka,फेका,फेका
3359,liidaron,लिडारों,लीडरों
3360,alexandria,एलेक्स्ड्रिया,एलेक्जेंड्रिया
3361,laffaajee,लफफ़ीज,लफ्फाजी
3362,sequent,सेक्वेट,सेक्वेंट
3363,raktaabh,रक्ता,रक्ताभ
3364,lahlahaati,लहलहाता,लहलहाती
3365,kishun,किशुन,किशुन
3366,saraha,सराहा,सराहा
3367,bronch,ब्रोंच,ब्रॉन्च
3368,virechan,विरेचन,विरेचन
3369,penshandhaariyon,पेंशनधररियों,पेंशनधारियों
3370,las,लास,लास्ट
3371,nividaataaon,निविदाताओं,निविदाताओं
3372,khyber,ख्यबर,ख़ैबर
3373,jalvayu,जलवायु,जलवायु
3374,aazmaanaa,अज़मााा,आजमाना
3375,laphphaajee,लफ्पाजी,लफ्फाजी
3376,loowe,लूवे,लूवे
3377,jeevvigyaaniyon,जिवियाजविियों,जीवविज्ञानियों
3378,mufalisi,मुफलिसी,मुफलिसी
3379,vista,विस्ता,विस्टा
3380,dukanon,दुकनों,दुकानों
3381,webuniyadee,वेबूनियडी,वेबुनियादी
3382,dwiarthi,द्वायरिि,द्विअर्थी
3383,sheershakon,शिरक्षों,शीर्षकों
3384,pharm,पार्म,फाॅर्म
3385,pushpa,पुष्पा,पुष्पा
3386,sapaat,सपात,सपाट
3387,stray,स्ट्री,स्ट्रे
3388,pagla,पागला,पगला
3389,jini,जिनी,जिनी
3390,jhulae,झुला,झुलए
3391,peeran,पीरन,पीरान
3392,bairakpur,बैरकरुप,बैरकपुर
3393,lagna,लग्ना,लगना
3394,pratirakshi,प्रातिकश्ष,प्रतिरक्षी
3395,chicopee,चिकोपी,चिकोपी
3396,cincinnati,सिनकननिटी,सिनसिनाटी
3397,dayitvon,दायत्वों,दायित्वों
3398,tadipar,तादिपर,तड़ीपार
3399,kailana,कैलाना,कायलाना
3400,ubaal,उबलल,उबाल
3401,greenwood,ज्रिन्द,ग्रीनवुड
3402,udhampur,उपधमुर,उधमपुर
3403,malekar,मलेकर,मालेकर
3404,jodhpur,जोपुढ़,जोधपुर
3405,gurdaspur,गुर्द्रपुर,गुरदासपुर
3406,engines,इनगिनेस,इंजन्स
3407,tuesday,टुसेदय,ट्यूजडे
3408,nihlani,निहलनी,निहलानी
3409,prapt,प्राप्ट,प्राप्त
3410,erika,आरिका,एरिका
3411,bilae,बिला,बिलाई
3412,surprise,सुरप्रि,सरप्राइज़
3413,sevamukta,सेमकुव्ता,सेवामुक्त
3414,dhoondhata,धूंधाता,ढूंढता
3415,karmacharee,कर्मचारी,कर्माचारी
3416,bhadauria,भाड़ौराय,भदौरिया
3417,arellano,अरेलोना,अरेलानो
3418,chinke,चिंके,छींके
3419,beni,बेनी,बैनी
3420,mezbaan,मेजबान,मेजबान
3421,landara,लंडारा,लंगड़ा
3422,dastaar,दस्तार,दस्तार
3423,poorwajanmon,पूर्वानगंं,पूर्वजन्मों
3424,sachan,सचन,सचन
3425,lima,लिमा,लिमा
3426,tantro,तंत््ोो,तंत्रों
3427,radiumdharmee,राद्मध्रमी,रेडियमधर्मी
3428,chadron,चादरों,चादरों
3429,belacha,बेलाचा,बेलचा
3430,sohawal,सोहवाल,सोहावल
3431,punchang,पुंचंग,पंचांग
3432,paalasaahee,पालासही,पालसाही
3433,shimat,शिमत,शिमट
3434,labelon,लबेलों,लेबलों
3435,mukeshvari,मुक्ेश्वर,मुकेश्वरी
3436,ghasi,घसी,घासी
3437,aadhin,अधिन,आधीन
3438,arthshaastriyon,अर्थस्त्रिश्यों,अर्थशास्त्रीयों
3439,fode,फोडे,फोड़े
3440,rijhaayaa,रिझाया,रिझाया
3441,ummidwaaree,उममीदवरीी,उम्मीदवारी
3442,prtigyaa,प्रतिज्ञा,प्रतिज्ञा
3443,cronfrensing,क्रोंफिनेसिंग,क्रान्फ्रेंसिंग
3444,bhootal,भूतल,भूतल
3445,jhaadane,झाड़ेन,झाड़ने
3446,poorneshwari,पूरेश्वररी,पूर्णेश्वरी
3447,patkathaein,पटकाेें,पटकथाएं
3448,rizvi,रिज्वी,रिज़वी
3449,oxide,ओक्सिड,ऑक्साइड
3450,baantin,बांतिन,बांटीं
3451,insano,इनसाोो,इंसानो
3452,prahlaad,प्रहलाद,प्रहलाद
3453,log,लोग,लोग
3454,chharhari,छारही,छरहरी
3455,killat,किललत,किल्लत
3456,baawaraa,बावारा,बावरा
3457,rana,राना,राणा
3458,jaanchana,जानचाना,जांचना
3459,shaksubahey,शकुस्बेही,शकसुबहे
3460,daka,दका,डाका
3461,ear,आईआर,इअर
3462,crest,क्रेस्ट,क्रेस्ट
3463,jassee,जससी,जस्सी
3464,maariya,मारिया,मारिया
3465,pagabadha,पगबाधा,पगबाधा
3466,prathmik,प्राथिक,प्राथमिक
3467,sahu,सहु,साहू
3468,suja,सुजा,सूजा
3469,raghupati,रघुपती,रघुपति
3470,phaans,फांस,फाँस
3471,khand,खांड,खंडा
3472,gumshudagi,गुसुमधागी,गुमशुदगी
3473,mumba,मुम्बा,बंबा
3474,bhrashtachareeyon,भ्रश्चायेचयो,भ्रष्टाचारीयों
3475,misra,मिसरा,मिश्रा
3476,dhyeywadi,ध्येवाडी,ध्येयवादी
3477,jamayaa,जमाया,जमाया
3478,urvarta,उर्वात्ा,उर्वरता
3479,sunsaan,सुनसा,सूनसान
3480,batao,बताओ,बताअाे
3481,jaljale,जलजले,ज़लज़ले
3482,bajaj,बजजज,बजाज
3483,kaathiyavadi,काठियावाड़,काठियावड़ी
3484,nirbaadh,निरबाध,निर्बाध
3485,sahityotsav,सहित्त्यसवो,साहित्योत्सव
3486,jalbharav,जलभरव,जलभराव
3487,apardarshi,अपररद्शश,अपारदर्शी
3488,vaimanya,वैमन्या,वैमनस्य
3489,gastrology,गास्ट्रोल्जी,गैस्ट्रोलॉजी
3490,renuka,रेनुका,रेनुका
3491,ukhrul,उखरुल,उखरुल
3492,jyothy,ज्योथी,ज्योथी
3493,electrosteel,इलेक्ट्रोस्टी,इलेक्ट्रोस्टील
3494,mahin,महिन,महीन
3495,daramyanee,दर्मानयी,दरम्यानी
3496,kyusaiks,क्याससिक्स,क्यूसैक्स
3497,rajyamantreesvatantra,राज्यम्््त््््््त््र,राज्यमंत्रीस्वतंत्र
3498,karvi,कारवी,कर्वी
3499,morrison,मोरिसोन,मोरीसन
3500,pichde,पिच्ड,पिछड़े
3501,rikannekting,रिकांनिकित्,रिकनेक्टिंग
3502,bhira,भीरा,भीरा
3503,kanjentevaaitis,कंजेनेविटिसिट,कंजेंटेवाइटिस
3504,badam,बादम,बदाम
3505,mezbaan,मेजबान,मेज़बान
3506,nsiu,न्यूस,एनएसआईयू
3507,sapraman,सप्रमान,सप्रमाण
3508,gruhnagar,गुरहनागर,गृहनगर
3509,augustine,उजगुसिन,अगस्टाइन
3510,mahankmadaan,महंकामदान,महंकमदान
3511,manassas,मानससस,मनासस
3512,overall,यवररलल,ओवरऑल
3513,brown,ब्रॉव,ब्राउन
3514,akron,अकरों,अक्रोन
3515,langron,लांगरों,लंगरों
3516,sikhin,सिखिन,सीखीं
3517,andaajee,अंदाजी,अंदाजी
3518,kainawij,कैनविज,कैनविज
3519,swaphoto,स्वाफोोो,स्वफ़ोटो
3520,enterprise,एंटरप्रियस,एंटरप्राइज
3521,reliance,रिलेयास,रिलायंस
3522,khatakti,खटककती,खटकती
3523,liphaaphaa,लिफापााा,लिफ़ाफ़ा
3524,phalne,फलने,फलने
3525,jeenon,जीनों,जीनों
3526,vivekadhin,विवेखड़ीन,विवेकाधीन
3527,cusex,क्सेक्स,क्यूसैक्स
3528,trenton,ट्रेंटो,ट्रेंटन
3529,awp,अवीपी,एडब्ल्यूपी
3530,mhathir,म्थाहर,महाथिर
3531,sanghiyataa,संघिताया,संघीयता
3532,yuddhak,युद्धक,युद्धक
3533,sitaram,सितराम,सीताराम
3534,petersburg,पेटर्सबर्ग,पीटर्सबर्ग
3535,khangaali,खंगाली,खंगाली
3536,bowling,बोलिंग,बोलिंग
3537,briggs,ब्रिग्स,ब्रिग्स
3538,chinmani,चिनमनी,चिनमणि
3539,bhadauriya,भाौदरिया,भदौरिया
3540,deepn,दीप,दीपन
3541,machilipatnam,मचिलिपत्मन,मछलीपट्टनम
3542,pradadhikariyon,प्रदाधिकारियों,प्रदाधिकारियों
3543,raakhe,राखे,राखे
3544,ustara,उस्तारा,उस्तरा
3545,lebalon,लेबालों,लेबलों
3546,khinchakar,खिंचकर,खिंचकर
3547,hymen,हिमेन,हाइमन
3548,aarya,अर्या,आर्य
3549,panaamaa,पनामा,पनामा
3550,ilayachi,इलाचची,इलाइची
3551,desabathula,देसाबााला,देसबथुला
3552,bhulon,भुलों,भूलों
3553,uthane,उठने,उठने
3554,kubuddin,कुबुददीन,कुबुद्दीन
3555,garibi,गरिबी,गरीबी
3556,mckay,माक्य,मैके
3557,subha,सुभा,सुब्हा
3558,sahkalakar,साखककर,सहकलाकार
3559,kisaani,किसानी,किसानी
3560,wind,विंड,विंड
3561,chhure,छुरे,छुरे
3562,maap,माप,माप
3563,satin,सतिन,सैटिन
3564,airway,एरावव,एयरवे
3565,toogaa,तुगा,टूगा
3566,prakaandh,प्रकांध,प्रकाण्ड़
3567,punahsthapana,पुनाहुस्त्ाा,पुनःस्थापना
3568,sanjivan,संजिवां,संजीवन
3569,newtest,न्वेट्सट,न्यूटेस्ट
3570,cipla,सिप्ला,सिप्ला
3571,sean,सीएन,शॉन
3572,deedablyutee,दिजाकोल्यी,डीडब्ल्यूटी
3573,cementation,सेंनेेटन,सीमेंटेशन
3574,lakshmidhar,लक्ष्मधार,लक्ष्मीधर
3575,ravael,रवाल,रवैल
3576,swamy,स्वम्य,स्वामी
3577,praveenchand,प्राविंंंद,प्रवीनचंद
3578,zilaadhikaari,ज़लिलाकारी,ज़िलाधिकारी
3579,lenevali,लेनेवली,लेनेवाली
3580,khagyaar,खग्यार,खग्यार
3581,machine,मचिने,मशीन
3582,avashist,अवशिष्ट,अवशिष्ट
3583,jatiyon,जतियों,जातियों
3584,vivekahin,विवेखेनी,विवेकहीन
3585,siddhantavaadiyon,सिद्धनियातावियों,सिद्धांतवादियों
3586,johari,जोहरी,जोहरी
3587,sarguja,सरगुजा,सरगुजा
3588,jayalalitaa,जलालताया,जयललिता
3589,bhattacharya,भट्टाचररा,भट्टाचार्य
3590,khhomche,खोच्े,खोमचे
3591,orissa,ओरिसा,ओडिसा
3592,patel,पटेल,पटेल
3593,krantidhara,क्रांतिधार,क्रांतिधरा
3594,boca,बोका,बोका
3595,baanyaa,बान्या,बांया
3596,harawal,हरावल,हरावल
3597,raghavan,रघवान,राघवन
3598,dablyooeeef,बाफोडील,डब्ल्यूईएफ
3599,premeshwar,प्रेमेश्वर,प्रेमेश्वर
3600,jaikara,जैकरा,जयकारा
3601,hakikat,हकिकत,हकीकत
3602,choodhe,छूड़े,चूड़े
3603,janbhavna,जनवभान,जनभावना
3604,haradil,हरादिल,हरदिल
3605,jita,जिता,जिता
3606,charon,चरों,चारों
3607,kaavyoktiyaan,काव्यकोतियां,काव्योक्तियां
3608,kantinyoo,कन्तियोो,कंटिन्यू
3609,zuari,ज़ुरी,जुवारी
3610,follow,फोलोव,फ़ॉलो
3611,karneshwardham,कर्णेश्वर्म,कर्णेश्वरधाम
3612,mitaao,मिताओ,मिटाओ
3613,jeevati,जीवती,जीवति
3614,bevkufana,बेकुवाााा,बेवकूफाना
3615,kushwaha,कुश्वाहा,कुशवाहा
3616,eyarkandishnar,आयरकें््््रा,एयरकंडीशनर
3617,brahmapur,ब्रहम्पुर,ब्रह्मपुर
3618,megavaal,मेगावल,मेगवाल
3619,nyayalayeen,न्यालायये,न्यायालयीन
3620,detasan,देतासन,डेटसन
3621,dhakal,धकल,ढकाल
3622,ghairakaanoonee,घारककनोनी,ग़ैरकानूनी
3623,trubyunal,ट्रुबुल्यन,ट्रिब्यूनल
3624,sim,सीआईआई,सीम
3625,bahunt,बहुंत,बहुंत
3626,saunpengi,संंपेगी,सौंपेंगी
3627,pratinidhikaree,प्रतिनिधिकी,प्रतिनिधिकारी
3628,quete,क्वेट,क्यूट
3629,bhusawal,भुसावल,भुसावल
3630,samvedansheelata,संवेवेल््मा,संवेदन्शीलता
3631,mukhyaatithiyon,मुख्यतििियों,मुख्यअतिथियों
3632,dungerpur,दुंगरपुर,डूंगरपुर
3633,baabat,बाबा,बाबत
3634,bahav,बहव,बहाव
3635,championship,चम्पिंशिक,चैंपियनशिप
3636,liwaal,लिवाल,लिवाल
3637,aalhaa,अलाहा,आल्हा
3638,vaidh,वैद,वैध्
3639,sansthaan,संस्थान,संसथान
3640,laigikata,लालितााा,लैंगिकता
3641,lovasa,लोवासा,लवासा
3642,gond,गोंड,गोंड
3643,woonsocket,वुनोककटट,वुनसोकेट
3644,da,डीआ,दा
3645,shipra,शिप्रा,शिप्रा
3646,nazarandaaz,नज़राददार,नजरंदाज
3647,vaan,वान,वाण
3648,physician,फिसििियन,फिजिशियन
3649,hijbul,हिजबुल,हिजबुल
3650,warishthon,वार्षिथों,वरिष्ठों
3651,iris,इरिस,आईरिस
3652,kundaliya,कुंडलिया,कुंडलियाँ
3653,coldvel,कॉलवेड,काल्डवेल
3654,hattiesburg,हटीज्सब्र,हैटीज़बर्ग
3655,mandadi,मंडड़ी,मनदड़ी
3656,fond,फॉंड,फोंड
3657,bosaan,बोसान,बोसान
3658,himamaanav,हिममानव,हिममानव
3659,kanblon,कंबोलन,कंबलों
3660,maaoont,माओंत,माऊंट
3661,khaatootolaa,खाटोटला,खातूटोला
3662,chaudhari,छौदररी,चौधरी
3663,lakshyon,लक्ष्यों,लक्ष्यों
3664,dhumrapaan,धुमरपान,धुम्रपान
3665,euclid,यूक्यल,यूक्लिड
3666,tasvire,ताश्वरे,तस्वीरे
3667,pulam,पुलम,पुलम
3668,gayatri,गयात्री,गायत्री
3669,moses,मोसे,मोसेस
3670,pattnaik,पटटनाैक,पटनायक
3671,laurense,लौरेंस,लौरेंस
3672,praavinses,प्राविसेंस,प्राविंसेस
3673,alnkaar,अल्नकार,अलंकार
3674,dablyoopidi,बाडोप्युडी,डब्ल्यूपीडी
3675,labs,लाब्स,लैब्स
3676,linden,लिंडेन,लिंडेन
3677,gaandchubhonachoosnachhote,गंधोभोंकोष्णेेेत्रो,गांडचुभोनाचूसनाछोटे
3678,renewables,रेनेवेल्स,रिन्यूएबल्स
3679,mukeshwari,मुकेश्वर,मुकेश्वरी
3680,madhura,मधुरा,मढ़ौरा
3681,sarkaa,सरका,सरका
3682,yanit,यानित,यनित
3683,aasaapaas,आसापास,आसापास
3684,keshari,केशरी,केशरी
3685,koottaa,कूतता,कूत्ता
3686,phadphadaaen,फद़ादााें,फड़फड़ाएं
3687,tirthatan,तिर्थतन,तीर्थाटन
3688,samoa,समोया,सामोआ
3689,achhi,आछी,अच्छी
3690,sangheeyataa,संझिताया,संघीयता
3691,sagarika,सागरिका,सागरिका
3692,kain,कैन,कईं
3693,mahoney,महोनी,महोनी
3694,sah,सा,साह
3695,essel,एसेल,एस्सेल
3696,mayur,मायूर,मयूर
3697,lajjalu,लज्जलु,लज्जालु
3698,dumghontu,दुम्थगुं,दमघोंटू
3699,vadli,वाडली,वडाली
3700,flavonoids,फ्लोवोनिड्स,फ्लेवनाइड्स
3701,shikayatkarta,शिकायकतरतत,शिकायतकर्ता
3702,affle,फैले,एफल
3703,uchhalne,उछलाने,उछालने
3704,atke,अटके,अटके
3705,offerh,ओफफर,ऑफरः
3706,kachchhe,कछच्े,कच्छे
3707,chandana,चंदना,चंदन
3708,tate,तते,टेट
3709,rishtanaataa,रिष्ततााा,रिश्तानाता
3710,swargdoot,स्वार्ग्ोो,स्वर्गदूत
3711,hanumangarh,हनुमनारह,हनुमानगढ़
3712,sanchar,संचर,संचार
3713,beltran,बेल्टरर,बेल्ट्रान
3714,proofread,प्रफफररड,प्रूफ़रीड
3715,gurdon,गुर्डों,गुर्दों
3716,amanati,मानाती,अमानती
3717,ghummakkadon,घुमकामकडों,घुमक्कड़ों
3718,singer,सिंगर,सिंगार
3719,phaadanhe,पााहड़े,फाडऩे
3720,brahmlin,ब्रहमलिन,ब्रह्मलीन
3721,zamana,ज़माना,ज़माना
3722,pataakshep,पटाशेक,पटाक्षेप
3723,bhooswaami,भूसवामी,भूस्वामी
3724,streshan,स्ट्रेशन,स्ट्रेशन
3725,bhaagyoday,भायोग्या,भाग्योदय
3726,pariwarwale,परिवववाले,परिवारवाले
3727,surinama,सुरिनामा,सूरीनाम
3728,sutton,सुत्तों,सट्टन
3729,tik,टीक,टिक
3730,jeffersonville,जेफ्रेसफलिन,जेफरसनविल
3731,nitin,नितिन,नितिन
3732,amzera,अमज़ारा,अमझेरा
3733,kambalon,कमबलों,कंबलों
3734,bethlehem,बेथलेहम,बैथलहम
3735,dhwanimikon,ध्वानिमिकों,ध्वनिमिकों
3736,lagega,लगेगा,लगेगा
3737,bamleshvaree,बालेश्वरी,बम्लेश्वरी
3738,hikaarico,हिकारिको,हिकारिको
3739,devlaha,देवलाहा,देवलहा
3740,nahinkarwaaee,नहिनकरावी,नहींकरवाई
3741,phaliya,फलिया,फालिया
3742,chapel,चपेल,चैपल
3743,deshbhaktimaya,देश्भक्ताया,देशभक्तिमय
3744,siyasi,सियासी,सियासी
3745,ukhad,उखद,उखड
3746,slider,स्लीडर,स्लाइडर
3747,gene,गेने,जैने
3748,han,हन,हां
3749,belcha,बेलचा,बेलचा
3750,kamau,कमौ,कमाऊ
3751,sweccha,स्वेचचा,स्वेच्छा
3752,bavji,बावजी,बावजी
3753,shrinkhalaon,श्रीखालों,श्रंखलाओं
3754,lamba,लामबा,लाम्बा
3755,rukavaton,रुकावतों,रूकावटों
3756,saathsaath,ससथाता,साथसाथ
3757,bhutto,भूततो,भुट्टो
3758,nadsa,नदसस,नक्सल
3759,sajja,बज्जा,सज्जा
3760,cheekhana,खिचान,चीखना
3761,nations,नेयन्स,नेशंस
3762,uzbek,उजबेक,उज़्बेक
3763,sarkarein,सरकरें,सरकारें
3764,jheelon,झेलों,झीलों
3765,madheekhedha,मधेखीधा,माड़ीखेड़ा
3766,paratrooper,पररत्रूर,पैराट्रूपर
3767,waco,वाको,वाको
3768,sevakon,सेवकों,सेवकों
3769,valkan,वालकन,वल्कन
3770,mahadhipatiyon,महाधितियोंं,महाधिपतियों
3771,farmic,फारमिक,फार्मिक
3772,weeks,वीक्स,वीक्स
3773,pilot,पिलोट,पायलट
3774,eksath,इकसाथ,एकसाथ
3775,theateron,थेटररों,थियेटरों
3776,chimati,चिमती,चिमटी
3777,raubdar,रौबदर,रौबदार
3778,ginate,गिनाते,गिनते
3779,nanhein,ननहें,नन्हें
3780,maurya,मौर्या,मौर्या
3781,rishiraj,रिशिज,ऋषिराज
3782,dhankkar,धनकककर,ढंककर
3783,parwa,परवा,परवा
3784,jacinto,जेसिंटो,जकिंटो
3785,padanee,पदनी,पड़नी
3786,dum,डूम,डम
3787,pushpa,पुष्पा,पुष्प
